None,indicator_id,region_id,date,value
0,ZSFH,99999,2022-06-30,588761.0
1,ZSFH,99999,2022-05-31,589700.0
2,ZSFH,99999,2022-04-30,580347.0
3,ZSFH,99999,2022-03-31,579785.0
4,ZSFH,99999,2022-02-28,555858.0
5,ZSFH,99999,2022-01-31,539084.0
6,ZSFH,99999,2021-12-31,523382.0
7,ZSFH,99999,2021-11-30,510814.0
8,ZSFH,99999,2021-10-31,500405.0
9,ZSFH,99999,2021-09-30,490138.0
10,ZSFH,99999,2021-08-31,481274.0
11,ZSFH,99999,2021-07-31,436966.0
12,ZSFH,99999,2021-06-30,427245.0
13,ZSFH,99999,2021-05-31,416609.0
14,ZSFH,99999,2021-04-30,406712.0
15,ZSFH,99999,2021-03-31,397664.0
16,ZSFH,99999,2021-02-28,385100.0
17,ZSFH,99999,2021-01-31,385350.0
18,ZSFH,99999,2020-12-31,383270.0
19,ZSFH,99999,2020-11-30,378566.0
20,ZSFH,99999,2020-10-31,375825.0
21,ZSFH,99999,2020-09-30,369733.0
22,ZSFH,99999,2020-08-31,366760.0
23,ZSFH,99999,2020-07-31,336538.0
24,ZSFH,99999,2020-06-30,367111.0
25,ZSFH,99999,2020-05-31,360642.0
26,ZSFH,99999,2020-04-30,358251.0
27,ZSFH,99999,2020-03-31,357318.0
28,ZSFH,99999,2020-02-29,356443.0
29,ZSFH,99999,2020-01-31,355387.0
30,ZSFH,99999,2019-12-31,353666.0
31,ZSFH,99999,2019-11-30,352571.0
32,ZSFH,99999,2019-10-31,352992.0
33,ZSFH,99999,2019-09-30,354149.0
34,ZSFH,99999,2019-08-31,353614.0
35,ZSFH,99999,2019-07-31,352034.0
36,ZSFH,99999,2019-06-30,349236.0
37,ZSFH,99999,2019-05-31,345969.0
38,ZSFH,99999,2019-04-30,343825.0
39,ZSFH,99999,2019-03-31,341602.0
40,ZSFH,99999,2019-02-28,338734.0
41,ZSFH,99999,2019-01-31,336343.0
42,ZSFH,99999,2018-12-31,334728.0
43,ZSFH,99999,2018-11-30,333069.0
44,ZSFH,99999,2018-10-31,328005.0
45,ZSFH,99999,2018-09-30,322212.0
46,ZSFH,99999,2018-08-31,317946.0
47,ZSFH,99999,2018-07-31,315862.0
48,ZSFH,99999,2018-06-30,315556.0
49,ZSFH,99999,2018-05-31,314513.0
50,ZSFH,99999,2018-04-30,312432.0
51,ZSFH,99999,2018-03-31,310271.0
52,ZSFH,99999,2018-02-28,308078.0
53,ZSFH,99999,2018-01-31,305116.0
54,ZSFH,99999,2017-12-31,301787.0
55,ZSFH,99999,2017-11-30,297928.0
56,ZSFH,99999,2017-10-31,296417.0
57,ZSFH,99999,2017-09-30,294639.0
58,ZSFH,99999,2017-08-31,294099.0
59,ZSFH,99999,2017-07-31,292625.0
60,ZSFH,99999,2017-06-30,290985.0
61,ZSFH,99999,2017-05-31,290189.0
62,ZSFH,99999,2017-04-30,289255.0
63,ZSFH,99999,2017-03-31,287241.0
64,ZSFH,99999,2017-02-28,286689.0
65,ZSFH,99999,2017-01-31,286667.0
66,ZSFH,99999,2016-12-31,287447.0
67,ZSFH,99999,2016-11-30,286670.0
68,ZSFH,99999,2016-10-31,285541.0
69,ZSFH,99999,2016-09-30,284428.0
70,ZSFH,99999,2016-08-31,282233.0
71,ZSFH,99999,2016-07-31,280099.0
72,ZSFH,99999,2016-06-30,277782.0
73,ZSFH,99999,2016-05-31,274995.0
74,ZSFH,99999,2016-04-30,272832.0
75,ZSFH,99999,2016-03-31,271977.0
76,ZSFH,99999,2016-02-29,270498.0
77,ZSFH,99999,2016-01-31,268094.0
78,ZSFH,99999,2015-12-31,264781.0
79,ZSFH,99999,2015-11-30,262948.0
80,ZSFH,99999,2015-10-31,261926.0
81,ZSFH,99999,2015-09-30,261021.0
82,ZSFH,99999,2015-08-31,260117.0
83,ZSFH,99999,2015-07-31,259096.0
84,ZSFH,99999,2015-06-30,258657.0
85,ZSFH,99999,2015-05-31,258654.0
86,ZSFH,99999,2015-04-30,258328.0
87,ZSFH,99999,2015-03-31,257879.0
88,ZSFH,99999,2015-02-28,257248.0
89,ZSFH,99999,2015-01-31,257084.0
90,ZSFH,99999,2014-12-31,256120.0
91,ZSFH,99999,2014-11-30,254399.0
92,ZSFH,99999,2014-10-31,251569.0
93,ZSFH,99999,2014-09-30,248967.0
94,ZSFH,99999,2014-08-31,247248.0
95,ZSFH,99999,2014-07-31,245791.0
96,ZSFH,99999,2014-06-30,243420.0
97,ZSFH,99999,2014-05-31,240644.0
98,ZSFH,99999,2014-04-30,239129.0
99,ZSFH,99999,2014-03-31,237907.0
100,ZSFH,99999,2014-02-28,236700.0
101,ZSFH,99999,2014-01-31,234661.0
102,ZSFH,99999,2013-12-31,233635.0
103,ZSFH,99999,2013-11-30,233116.0
104,ZSFH,99999,2013-10-31,233070.0
105,ZSFH,99999,2013-09-30,232873.0
106,ZSFH,99999,2013-08-31,232033.0
107,ZSFH,99999,2013-07-31,230851.0
108,ZSFH,99999,2013-06-30,229960.0
109,ZSFH,99999,2013-05-31,228950.0
110,ZSFH,99999,2013-04-30,225881.0
111,ZSFH,99999,2013-03-31,222266.0
112,ZSFH,99999,2013-02-28,219551.0
113,ZSFH,99999,2013-01-31,218510.0
114,ZSFH,99999,2012-12-31,217541.0
115,ZSFH,99999,2012-11-30,215762.0
116,ZSFH,99999,2012-10-31,214017.0
117,ZSFH,99999,2012-09-30,212734.0
118,ZSFH,99999,2012-08-31,211418.0
119,ZSFH,99999,2012-07-31,210781.0
120,ZSFH,99999,2012-06-30,209834.0
121,ZSFH,99999,2012-05-31,209364.0
122,ZSFH,99999,2012-04-30,209121.0
123,ZSFH,99999,2012-03-31,209002.0
124,ZSFH,99999,2012-02-29,207391.0
125,ZSFH,99999,2012-01-31,205584.0
126,ZSFH,99999,2011-12-31,203763.0
127,ZSFH,99999,2011-11-30,203913.0
128,ZSFH,99999,2011-10-31,204258.0
129,ZSFH,99999,2011-09-30,204584.0
130,ZSFH,99999,2011-08-31,204543.0
131,ZSFH,99999,2011-07-31,204195.0
132,ZSFH,99999,2011-06-30,203791.0
133,ZSFH,99999,2011-05-31,203472.0
134,ZSFH,99999,2011-04-30,204052.0
135,ZSFH,99999,2011-03-31,205247.0
136,ZSFH,99999,2011-02-28,206920.0
137,ZSFH,99999,2011-01-31,207824.0
138,ZSFH,99999,2010-12-31,208613.0
139,ZSFH,99999,2010-11-30,208736.0
140,ZSFH,99999,2010-10-31,209302.0
141,ZSFH,99999,2010-09-30,210642.0
142,ZSFH,99999,2010-08-31,212488.0
143,ZSFH,99999,2010-07-31,213340.0
144,ZSFH,99999,2010-06-30,213556.0
145,ZSFH,99999,2010-05-31,213385.0
146,ZSFH,99999,2010-04-30,213534.0
147,ZSFH,99999,2010-03-31,213289.0
148,ZSFH,99999,2010-02-28,214424.0
149,ZSFH,99999,2010-01-31,216221.0
150,ZSFH,99999,2009-12-31,218078.0
151,ZSFH,99999,2009-11-30,218727.0
152,ZSFH,99999,2009-10-31,218621.0
153,ZSFH,99999,2009-09-30,216191.0
154,ZSFH,99999,2009-08-31,214318.0
155,ZSFH,99999,2009-07-31,213677.0
156,ZSFH,99999,2009-06-30,216221.0
157,ZSFH,99999,2009-05-31,218194.0
158,ZSFH,99999,2009-04-30,219700.0
159,ZSFH,99999,2009-03-31,220467.0
160,ZSFH,99999,2009-02-28,220438.0
161,ZSFH,99999,2009-01-31,219994.0
162,ZSFH,99999,2008-12-31,219776.0
163,ZSFH,99999,2008-11-30,220347.0
164,ZSFH,99999,2008-10-31,220771.0
165,ZSFH,99999,2008-09-30,221228.0
166,ZSFH,99999,2008-08-31,221310.0
167,ZSFH,99999,2008-07-31,221684.0
168,ZSFH,99999,2008-06-30,220484.0
169,ZSFH,99999,2008-05-31,221028.0
170,ZSFH,99999,2008-04-30,221053.0
171,ZSFH,99999,2008-03-31,222485.0
172,ZSFH,99999,2008-02-29,222009.0
173,ZSFH,99999,2008-01-31,220783.0
174,ZSFH,99999,2007-12-31,219191.0
175,ZSFH,99999,2007-11-30,217548.0
176,ZSFH,99999,2007-10-31,216690.0
177,ZSFH,99999,2007-09-30,218624.0
178,ZSFH,99999,2007-08-31,220110.0
179,ZSFH,99999,2007-07-31,219686.0
180,ZSFH,99999,2007-06-30,217035.0
181,ZSFH,99999,2007-05-31,213196.0
182,ZSFH,99999,2007-04-30,210060.0
183,ZSFH,99999,2007-03-31,205268.0
184,ZSFH,99999,2007-02-28,202023.0
185,ZSFH,99999,2007-01-31,200260.0
186,ZSFH,99999,2006-12-31,198535.0
187,ZSFH,99999,2006-11-30,197924.0
188,ZSFH,99999,2006-10-31,196573.0
189,ZSFH,99999,2006-09-30,193744.0
190,ZSFH,99999,2006-08-31,189865.0
191,ZSFH,99999,2006-07-31,187126.0
192,ZSFH,99999,2006-06-30,187415.0
193,ZSFH,99999,2006-05-31,188323.0
194,ZSFH,99999,2006-04-30,188989.0
195,ZSFH,99999,2006-03-31,188116.0
196,ZSFH,99999,2006-02-28,186794.0
197,ZSFH,99999,2006-01-31,184637.0
198,ZSFH,99999,2005-12-31,183392.0
199,ZSFH,99999,2005-11-30,181214.0
200,ZSFH,99999,2005-10-31,179215.0
201,ZSFH,99999,2005-09-30,177270.0
202,ZSFH,99999,2005-08-31,176223.0
203,ZSFH,99999,2005-07-31,174991.0
204,ZSFH,99999,2005-06-30,172571.0
205,ZSFH,99999,2005-05-31,169868.0
206,ZSFH,99999,2005-04-30,167105.0
207,ZSFH,99999,2005-03-31,165721.0
208,ZSFH,99999,2005-02-28,164998.0
209,ZSFH,99999,2005-01-31,164988.0
210,ZSFH,99998,2022-06-30,426280.0
211,ZSFH,99998,2022-05-31,417999.0
212,ZSFH,99998,2022-04-30,414514.0
213,ZSFH,99998,2022-03-31,412340.0
214,ZSFH,99998,2022-02-28,411266.0
215,ZSFH,99998,2022-01-31,403503.0
216,ZSFH,99998,2021-12-31,395836.0
217,ZSFH,99998,2021-11-30,388435.0
218,ZSFH,99998,2021-10-31,383778.0
219,ZSFH,99998,2021-09-30,379070.0
220,ZSFH,99998,2021-08-31,373600.0
221,ZSFH,99998,2021-07-31,336859.0
222,ZSFH,99998,2021-06-30,331750.0
223,ZSFH,99998,2021-05-31,327464.0
224,ZSFH,99998,2021-04-30,324181.0
225,ZSFH,99998,2021-03-31,319767.0
226,ZSFH,99998,2021-02-28,313519.0
227,ZSFH,99998,2021-01-31,308459.0
228,ZSFH,99998,2020-12-31,302189.0
229,ZSFH,99998,2020-11-30,299117.0
230,ZSFH,99998,2020-10-31,296771.0
231,ZSFH,99998,2020-09-30,293552.0
232,ZSFH,99998,2020-08-31,286326.0
233,ZSFH,99998,2020-07-31,285611.0
234,ZSFH,99998,2020-06-30,296807.0
235,ZSFH,99998,2020-05-31,296376.0
236,ZSFH,99998,2020-04-30,296177.0
237,ZSFH,99998,2020-03-31,296303.0
238,ZSFH,99998,2020-02-29,295761.0
239,ZSFH,99998,2020-01-31,294973.0
240,ZSFH,99998,2019-12-31,294973.0
241,ZSFH,99998,2019-11-30,294870.0
242,ZSFH,99998,2019-10-31,295033.0
243,ZSFH,99998,2019-09-30,293962.0
244,ZSFH,99998,2019-08-31,293098.0
245,ZSFH,99998,2019-07-31,292017.0
246,ZSFH,99998,2019-06-30,291200.0
247,ZSFH,99998,2019-05-31,289961.0
248,ZSFH,99998,2019-04-30,288739.0
249,ZSFH,99998,2019-03-31,287170.0
250,ZSFH,99998,2019-02-28,287622.0
251,ZSFH,99998,2019-01-31,288329.0
252,ZSFH,99998,2018-12-31,288341.0
253,ZSFH,99998,2018-11-30,286754.0
254,ZSFH,99998,2018-10-31,284858.0
255,ZSFH,99998,2018-09-30,284232.0
